Date,State Name,New Covid Cases
2020-01-21,Washington,1.0
2020-01-22,Washington,0.0
2020-01-23,Washington,0.0
2020-01-24,Washington,0.0
2020-01-25,Washington,0.0
2020-01-26,Washington,0.0
2020-01-27,Washington,0.0
2020-01-28,Washington,0.0
2020-01-29,Washington,0.0
2020-01-30,Washington,0.0
2020-01-31,Washington,0.0
2020-02-01,Washington,0.0
2020-02-02,Washington,0.0
2020-02-03,Washington,0.0
2020-02-04,Washington,0.0
2020-02-05,Washington,0.0
2020-02-06,Washington,0.0
2020-02-07,Washington,0.0
2020-02-08,Washington,0.0
2020-02-09,Washington,0.0
2020-02-10,Washington,0.0
2020-02-11,Washington,0.0
2020-02-12,Washington,0.0
2020-02-13,Washington,0.0
2020-02-14,Washington,0.0
2020-02-15,Washington,0.0
2020-02-16,Washington,0.0
2020-02-17,Washington,0.0
2020-02-18,Washington,0.0
2020-02-19,Washington,0.0
2020-02-20,Washington,0.0
2020-02-21,Washington,0.0
2020-02-22,Washington,0.0
2020-02-23,Washington,0.0
2020-02-24,Washington,4.0
2020-02-25,Washington,0.0
2020-02-26,Washington,0.0
2020-02-27,Washington,0.0
2020-02-28,Washington,2.0
2020-02-29,Washington,3.0
2020-03-01,Washington,7.0
2020-03-02,Washington,6.0
2020-03-03,Washington,9.0
2020-03-04,Washington,15.0
2020-03-05,Washington,28.0
2020-03-06,Washington,11.0
2020-03-07,Washington,24.0
2020-03-08,Washington,31.0
2020-03-09,Washington,38.0
2020-03-10,Washington,100.0
2020-03-11,Washington,59.0
2020-03-12,Washington,81.0
2020-03-13,Washington,92.0
2020-03-14,Washington,98.0
2020-03-15,Washington,66.0
2020-03-16,Washington,119.0
2020-03-17,Washington,114.0
2020-03-18,Washington,118.0
2020-03-19,Washington,202.0
2020-03-20,Washington,176.0
2020-03-21,Washington,251.0
2020-03-22,Washington,189.0
2020-03-23,Washington,257.0
2020-03-24,Washington,368.0
2020-03-25,Washington,116.0
2020-03-26,Washington,623.0
2020-03-27,Washington,562.0
2020-03-28,Washington,541.0
2020-03-29,Washington,586.0
2020-03-30,Washington,283.0
2020-03-31,Washington,113.0
2020-04-01,Washington,296.0
2020-04-02,Washington,997.0
2020-04-03,Washington,381.0
2020-04-04,Washington,532.0
2020-04-05,Washington,486.0
2020-04-06,Washington,400.0
2020-04-07,Washington,298.0
2020-04-08,Washington,415.0
2020-04-09,Washington,511.0
2020-04-10,Washington,279.0
2020-04-11,Washington,339.0
2020-04-12,Washington,187.0
2020-04-13,Washington,133.0
2020-04-14,Washington,164.0
2020-04-15,Washington,95.0
2020-04-16,Washington,374.0
2020-04-17,Washington,299.0
2020-04-18,Washington,371.0
2020-04-19,Washington,14.0
2020-04-20,Washington,391.0
2020-04-21,Washington,155.0
2020-04-22,Washington,196.0
2020-04-23,Washington,375.0
2020-04-24,Washington,216.0
2020-04-25,Washington,368.0
2020-04-26,Washington,179.0
2020-04-27,Washington,214.0
2020-04-28,Washington,207.0
2020-04-29,Washington,325.0
2020-04-30,Washington,324.0
2020-05-01,Washington,320.0
2020-05-02,Washington,249.0
2020-05-03,Washington,560.0
2020-05-04,Washington,104.0
2020-05-05,Washington,187.0
2020-05-06,Washington,639.0
2020-05-07,Washington,314.0
2020-05-08,Washington,290.0
2020-05-09,Washington,152.0
2020-05-10,Washington,152.0
2020-05-11,Washington,391.0
2020-05-12,Washington,210.0
2020-05-13,Washington,110.0
2020-05-14,Washington,369.0
2020-05-15,Washington,270.0
2020-05-16,Washington,205.0
2020-05-17,Washington,178.0
2020-05-18,Washington,242.0
2020-05-19,Washington,232.0
2020-05-20,Washington,122.0
2020-05-21,Washington,170.0
2020-05-22,Washington,246.0
2020-05-23,Washington,214.0
2020-05-24,Washington,249.0
2020-05-25,Washington,276.0
2020-05-26,Washington,273.0
2020-05-27,Washington,287.0
2020-05-28,Washington,266.0
2020-05-29,Washington,286.0
2020-05-30,Washington,241.0
2020-05-31,Washington,196.0
2020-06-01,Washington,458.0
2020-06-02,Washington,336.0
2020-06-03,Washington,168.0
2020-06-04,Washington,223.0
2020-06-05,Washington,547.0
2020-06-06,Washington,221.0
2020-06-07,Washington,297.0
2020-06-08,Washington,529.0
2020-06-09,Washington,203.0
2020-06-10,Washington,144.0
2020-06-11,Washington,232.0
2020-06-12,Washington,404.0
2020-06-13,Washington,344.0
2020-06-14,Washington,215.0
2020-06-15,Washington,442.0
2020-06-16,Washington,372.0
2020-06-17,Washington,321.0
2020-06-18,Washington,393.0
2020-06-19,Washington,382.0
2020-06-20,Washington,421.0
2020-06-21,Washington,331.0
2020-06-22,Washington,646.0
2020-06-23,Washington,335.0
2020-06-24,Washington,622.0
2020-06-25,Washington,598.0
2020-06-26,Washington,491.0
2020-06-27,Washington,542.0
2020-06-28,Washington,310.0
2020-06-29,Washington,695.0
2020-06-30,Washington,505.0
2020-07-01,Washington,717.0
2020-07-02,Washington,663.0
2020-07-03,Washington,496.0
2020-07-04,Washington,382.0
2020-07-05,Washington,669.0
2020-07-06,Washington,1049.0
2020-07-07,Washington,546.0
2020-07-08,Washington,598.0
2020-07-09,Washington,708.0
